Venue:,Capacity:,Timestamp:
MyFitness Postimaja,15%,2021-05-18 13:06:45.139572
MyFitness Rocca al Mare,62%,2021-05-18 13:06:45.139573
MyFitness Rävala,47%,2021-05-18 13:06:45.139574
MyFitness Solaris,31%,2021-05-18 13:06:45.139574
MyFitness Tartu Annelinn,38%,2021-05-18 13:06:45.139575
MyFitness Tartu Kesklinn,36%,2021-05-18 13:06:45.139576
MyFitness Tartu Lõunakeskus,27%,2021-05-18 13:06:45.139577
MyFitness Viimsi,20%,2021-05-18 13:06:45.139577
MyFitness Viljandi,27%,2021-05-18 13:06:45.139578
MyFitness Viru,32%,2021-05-18 13:06:45.139579
MyFitness Ülemiste City,32%,2021-05-18 13:06:45.139583
MyFitness Balti Jaama Turg,46%,2021-05-18 14:06:43.812363
MyFitness Järve,47%,2021-05-18 14:06:43.812367
MyFitness Kristiine,33%,2021-05-18 14:06:43.812368
MyFitness Lasnamäe Kärberi,19%,2021-05-18 14:06:43.812369
MyFitness Lasnamäe Linnamäe,23%,2021-05-18 14:06:43.812371
MyFitness Lasnamäe Virbi,12%,2021-05-18 14:06:43.812372
MyFitness Mustamäe,36%,2021-05-18 14:06:43.812373
MyFitness Narva,30%,2021-05-18 14:06:43.812374
MyFitness Pirita,45%,2021-05-18 14:06:43.812375
MyFitness Postimaja,18%,2021-05-18 14:06:43.812377
MyFitness Rocca al Mare,58%,2021-05-18 14:06:43.812378
MyFitness Rävala,61%,2021-05-18 14:06:43.812379
MyFitness Solaris,21%,2021-05-18 14:06:43.812380
MyFitness Tartu Annelinn,50%,2021-05-18 14:06:43.812381
MyFitness Tartu Kesklinn,36%,2021-05-18 14:06:43.812382
MyFitness Tartu Lõunakeskus,31%,2021-05-18 14:06:43.812383
MyFitness Viimsi,28%,2021-05-18 14:06:43.812384
MyFitness Viljandi,50%,2021-05-18 14:06:43.812385
MyFitness Viru,38%,2021-05-18 14:06:43.812386
MyFitness Ülemiste City,35%,2021-05-18 14:06:43.812390
MyFitness Balti Jaama Turg,61%,2021-05-18 15:06:43.859322
MyFitness Järve,62%,2021-05-18 15:06:43.859326
MyFitness Kristiine,59%,2021-05-18 15:06:43.859328
MyFitness Lasnamäe Kärberi,25%,2021-05-18 15:06:43.859329
MyFitness Lasnamäe Linnamäe,34%,2021-05-18 15:06:43.859330
MyFitness Lasnamäe Virbi,18%,2021-05-18 15:06:43.859332
MyFitness Mustamäe,73%,2021-05-18 15:06:43.859333
MyFitness Narva,55%,2021-05-18 15:06:43.859334
MyFitness Pirita,63%,2021-05-18 15:06:43.859335
MyFitness Postimaja,48%,2021-05-18 15:06:43.859336
MyFitness Rocca al Mare,95%,2021-05-18 15:06:43.859337
MyFitness Rävala,88%,2021-05-18 15:06:43.859338
MyFitness Solaris,19%,2021-05-18 15:06:43.859339
MyFitness Tartu Annelinn,76%,2021-05-18 15:06:43.859340
MyFitness Tartu Kesklinn,38%,2021-05-18 15:06:43.859341
MyFitness Tartu Lõunakeskus,44%,2021-05-18 15:06:43.859342
MyFitness Viimsi,34%,2021-05-18 15:06:43.859343
MyFitness Viljandi,73%,2021-05-18 15:06:43.859345
MyFitness Viru,60%,2021-05-18 15:06:43.859346
MyFitness Ülemiste City,69%,2021-05-18 15:06:43.859350
MyFitness Balti Jaama Turg,69%,2021-05-18 16:07:07.589486
MyFitness Järve,48%,2021-05-18 16:07:07.589491
MyFitness Kristiine,46%,2021-05-18 16:07:07.589492
MyFitness Lasnamäe Kärberi,28%,2021-05-18 16:07:07.589493
MyFitness Lasnamäe Linnamäe,37%,2021-05-18 16:07:07.589494
MyFitness Lasnamäe Virbi,27%,2021-05-18 16:07:07.589495
MyFitness Mustamäe,61%,2021-05-18 16:07:07.589496
MyFitness Narva,48%,2021-05-18 16:07:07.589497
MyFitness Pirita,75%,2021-05-18 16:07:07.589498
MyFitness Postimaja,49%,2021-05-18 16:07:07.589499
MyFitness Rocca al Mare,100%,2021-05-18 16:07:07.589500
MyFitness Rävala,67%,2021-05-18 16:07:07.589501
MyFitness Solaris,21%,2021-05-18 16:07:07.589502
MyFitness Tartu Annelinn,71%,2021-05-18 16:07:07.589503
MyFitness Tartu Kesklinn,41%,2021-05-18 16:07:07.589503
MyFitness Tartu Lõunakeskus,25%,2021-05-18 16:07:07.589504
MyFitness Viimsi,48%,2021-05-18 16:07:07.589505
MyFitness Viljandi,61%,2021-05-18 16:07:07.589506
MyFitness Viru,52%,2021-05-18 16:07:07.589507
MyFitness Ülemiste City,77%,2021-05-18 16:07:07.589512
MyFitness Balti Jaama Turg,52%,2021-05-18 17:06:29.771267
MyFitness Järve,40%,2021-05-18 17:06:29.771270
MyFitness Kristiine,33%,2021-05-18 17:06:29.771271
MyFitness Lasnamäe Kärberi,13%,2021-05-18 17:06:29.771271
MyFitness Lasnamäe Linnamäe,24%,2021-05-18 17:06:29.771272
MyFitness Lasnamäe Virbi,22%,2021-05-18 17:06:29.771273
MyFitness Mustamäe,55%,2021-05-18 17:06:29.771273
MyFitness Narva,52%,2021-05-18 17:06:29.771274
MyFitness Pirita,47%,2021-05-18 17:06:29.771275
MyFitness Postimaja,42%,2021-05-18 17:06:29.771275
MyFitness Rocca al Mare,100%,2021-05-18 17:06:29.771276
MyFitness Rävala,64%,2021-05-18 17:06:29.771277
MyFitness Solaris,29%,2021-05-18 17:06:29.771277
MyFitness Tartu Annelinn,74%,2021-05-18 17:06:29.771278
MyFitness Tartu Kesklinn,55%,2021-05-18 17:06:29.771278
MyFitness Tartu Lõunakeskus,21%,2021-05-18 17:06:29.771279
MyFitness Viimsi,40%,2021-05-18 17:06:29.771279
MyFitness Viljandi,70%,2021-05-18 17:06:29.771280
MyFitness Viru,45%,2021-05-18 17:06:29.771280
MyFitness Ülemiste City,50%,2021-05-18 17:06:29.771285
MyFitness Balti Jaama Turg,37%,2021-05-18 18:06:29.642081
MyFitness Järve,25%,2021-05-18 18:06:29.642084
MyFitness Kristiine,18%,2021-05-18 18:06:29.642085
MyFitness Lasnamäe Kärberi,8%,2021-05-18 18:06:29.642086
MyFitness Lasnamäe Linnamäe,19%,2021-05-18 18:06:29.642087
MyFitness Lasnamäe Virbi,9%,2021-05-18 18:06:29.642088
MyFitness Mustamäe,35%,2021-05-18 18:06:29.642089
MyFitness Narva,27%,2021-05-18 18:06:29.642090
MyFitness Pirita,18%,2021-05-18 18:06:29.642091
MyFitness Postimaja,11%,2021-05-18 18:06:29.642092
MyFitness Rocca al Mare,75%,2021-05-18 18:06:29.642092
MyFitness Rävala,51%,2021-05-18 18:06:29.642093
MyFitness Solaris,14%,2021-05-18 18:06:29.642094
MyFitness Tartu Annelinn,32%,2021-05-18 18:06:29.642095
MyFitness Tartu Kesklinn,26%,2021-05-18 18:06:29.642096
MyFitness Tartu Lõunakeskus,19%,2021-05-18 18:06:29.642097
MyFitness Viimsi,38%,2021-05-18 18:06:29.642098
MyFitness Viljandi,27%,2021-05-18 18:06:29.642099
MyFitness Viru,28%,2021-05-18 18:06:29.642100
MyFitness Ülemiste City,40%,2021-05-18 18:06:29.642103
MyFitness Balti Jaama Turg,13%,2021-05-18 19:06:27.601890
MyFitness Järve,16%,2021-05-18 19:06:27.601893
MyFitness Kristiine,3%,2021-05-18 19:06:27.601894
MyFitness Lasnamäe Kärberi,13%,2021-05-18 19:06:27.601894
MyFitness Lasnamäe Linnamäe,6%,2021-05-18 19:06:27.601895
MyFitness Lasnamäe Virbi,1%,2021-05-18 19:06:27.601896
MyFitness Mustamäe,22%,2021-05-18 19:06:27.601897
MyFitness Narva,4%,2021-05-18 19:06:27.601897
MyFitness Pirita,3%,2021-05-18 19:06:27.601899
MyFitness Postimaja,22%,2021-05-18 19:06:27.601899
MyFitness Rocca al Mare,43%,2021-05-18 19:06:27.601900
MyFitness Rävala,43%,2021-05-18 19:06:27.601901
MyFitness Solaris,0%,2021-05-18 19:06:27.601901
MyFitness Tartu Annelinn,11%,2021-05-18 19:06:27.601902
MyFitness Tartu Kesklinn,12%,2021-05-18 19:06:27.601903
MyFitness Tartu Lõunakeskus,0%,2021-05-18 19:06:27.601903
MyFitness Viimsi,19%,2021-05-18 19:06:27.601904
MyFitness Viljandi,16%,2021-05-18 19:06:27.601905
MyFitness Viru,27%,2021-05-18 19:06:27.601905
MyFitness Ülemiste City,13%,2021-05-18 19:06:27.601909
MyFitness Balti Jaama Turg,1%,2021-05-18 20:06:28.470938
MyFitness Järve,0%,2021-05-18 20:06:28.470941
MyFitness Kristiine,3%,2021-05-18 20:06:28.470942
MyFitness Lasnamäe Kärberi,0%,2021-05-18 20:06:28.470942
MyFitness Lasnamäe Linnamäe,4%,2021-05-18 20:06:28.470943
MyFitness Lasnamäe Virbi,0%,2021-05-18 20:06:28.470944
MyFitness Mustamäe,0%,2021-05-18 20:06:28.470945
MyFitness Narva,0%,2021-05-18 20:06:28.470945
MyFitness Pirita,3%,2021-05-18 20:06:28.470946
MyFitness Postimaja,3%,2021-05-18 20:06:28.470947
MyFitness Rocca al Mare,9%,2021-05-18 20:06:28.470948
MyFitness Rävala,0%,2021-05-18 20:06:28.470948
MyFitness Solaris,0%,2021-05-18 20:06:28.470949
MyFitness Tartu Annelinn,1%,2021-05-18 20:06:28.470950
MyFitness Tartu Kesklinn,1%,2021-05-18 20:06:28.470950
MyFitness Tartu Lõunakeskus,0%,2021-05-18 20:06:28.470951
MyFitness Viimsi,1%,2021-05-18 20:06:28.470951
MyFitness Viljandi,16%,2021-05-18 20:06:28.470952
MyFitness Viru,23%,2021-05-18 20:06:28.470953
MyFitness Ülemiste City,1%,2021-05-18 20:06:28.470956
MyFitness Rävala,9%,2021-05-19 03:07:22.467833
MyFitness Balti Jaama Turg,9%,2021-05-19 04:07:36.101853
MyFitness Järve,23%,2021-05-19 04:07:36.101857
MyFitness Kristiine,8%,2021-05-19 04:07:36.101858
MyFitness Lasnamäe Kärberi,9%,2021-05-19 04:07:36.101859
MyFitness Lasnamäe Linnamäe,15%,2021-05-19 04:07:36.101860
MyFitness Lasnamäe Virbi,3%,2021-05-19 04:07:36.101861
MyFitness Mustamäe,19%,2021-05-19 04:07:36.101862
MyFitness Narva,9%,2021-05-19 04:07:36.101863
MyFitness Pirita,10%,2021-05-19 04:07:36.101864
MyFitness Postimaja,15%,2021-05-19 04:07:36.101866
MyFitness Rocca al Mare,39%,2021-05-19 04:07:36.101866
MyFitness Rävala,43%,2021-05-19 04:07:36.101867
MyFitness Tartu Annelinn,22%,2021-05-19 04:07:36.101868
MyFitness Tartu Kesklinn,21%,2021-05-19 04:07:36.101869
MyFitness Tartu Lõunakeskus,6%,2021-05-19 04:07:36.101870
MyFitness Viimsi,18%,2021-05-19 04:07:36.101871
MyFitness Viljandi,5%,2021-05-19 04:07:36.101872
MyFitness Viru,7%,2021-05-19 04:07:36.101873
MyFitness Ülemiste City,21%,2021-05-19 04:07:36.101874
MyFitness Balti Jaama Turg,31%,2021-05-19 05:07:10.671116
MyFitness Järve,35%,2021-05-19 05:07:10.671119
MyFitness Kristiine,25%,2021-05-19 05:07:10.671120
MyFitness Lasnamäe Kärberi,16%,2021-05-19 05:07:10.671121
MyFitness Lasnamäe Linnamäe,18%,2021-05-19 05:07:10.671123
MyFitness Lasnamäe Virbi,18%,2021-05-19 05:07:10.671124
MyFitness Mustamäe,30%,2021-05-19 05:07:10.671125
MyFitness Narva,21%,2021-05-19 05:07:10.671126
MyFitness Pirita,22%,2021-05-19 05:07:10.671127
MyFitness Postimaja,18%,2021-05-19 05:07:10.671128
MyFitness Rocca al Mare,41%,2021-05-19 05:07:10.671128
MyFitness Rävala,47%,2021-05-19 05:07:10.671129
MyFitness Solaris,2%,2021-05-19 05:07:10.671130
MyFitness Tartu Annelinn,18%,2021-05-19 05:07:10.671131
MyFitness Tartu Kesklinn,30%,2021-05-19 05:07:10.671132
MyFitness Tartu Lõunakeskus,21%,2021-05-19 05:07:10.671133
MyFitness Viimsi,13%,2021-05-19 05:07:10.671134
MyFitness Viljandi,27%,2021-05-19 05:07:10.671134
MyFitness Viru,18%,2021-05-19 05:07:10.671135
MyFitness Ülemiste City,35%,2021-05-19 05:07:10.671140
MyFitness Balti Jaama Turg,36%,2021-05-19 06:06:58.860870
MyFitness Järve,24%,2021-05-19 06:06:58.860874
MyFitness Kristiine,14%,2021-05-19 06:06:58.860875
MyFitness Lasnamäe Kärberi,18%,2021-05-19 06:06:58.860876
MyFitness Lasnamäe Linnamäe,29%,2021-05-19 06:06:58.860877
MyFitness Lasnamäe Virbi,18%,2021-05-19 06:06:58.860878
MyFitness Mustamäe,34%,2021-05-19 06:06:58.860879
MyFitness Narva,25%,2021-05-19 06:06:58.860880
MyFitness Pirita,42%,2021-05-19 06:06:58.860881
MyFitness Postimaja,18%,2021-05-19 06:06:58.860882
MyFitness Rocca al Mare,52%,2021-05-19 06:06:58.860883
MyFitness Rävala,32%,2021-05-19 06:06:58.860884
MyFitness Solaris,10%,2021-05-19 06:06:58.860885
MyFitness Tartu Annelinn,26%,2021-05-19 06:06:58.860886
MyFitness Tartu Kesklinn,45%,2021-05-19 06:06:58.860887
MyFitness Tartu Lõunakeskus,15%,2021-05-19 06:06:58.860888
MyFitness Viimsi,24%,2021-05-19 06:06:58.860889
MyFitness Viljandi,18%,2021-05-19 06:06:58.860890
MyFitness Viru,25%,2021-05-19 06:06:58.860890
MyFitness Ülemiste City,27%,2021-05-19 06:06:58.860894
MyFitness Balti Jaama Turg,24%,2021-05-19 07:07:12.898668
MyFitness Järve,24%,2021-05-19 07:07:12.898672
MyFitness Kristiine,28%,2021-05-19 07:07:12.898673
MyFitness Lasnamäe Kärberi,19%,2021-05-19 07:07:12.898674
MyFitness Lasnamäe Linnamäe,27%,2021-05-19 07:07:12.898675
MyFitness Lasnamäe Virbi,9%,2021-05-19 07:07:12.898677
MyFitness Mustamäe,26%,2021-05-19 07:07:12.898677
MyFitness Narva,23%,2021-05-19 07:07:12.898678
MyFitness Pirita,38%,2021-05-19 07:07:12.898680
MyFitness Postimaja,14%,2021-05-19 07:07:12.898681
MyFitness Rocca al Mare,60%,2021-05-19 07:07:12.898682
MyFitness Rävala,28%,2021-05-19 07:07:12.898683
MyFitness Solaris,10%,2021-05-19 07:07:12.898684
MyFitness Tartu Annelinn,18%,2021-05-19 07:07:12.898685
MyFitness Tartu Kesklinn,17%,2021-05-19 07:07:12.898685
MyFitness Tartu Lõunakeskus,27%,2021-05-19 07:07:12.898686
MyFitness Viimsi,22%,2021-05-19 07:07:12.898687
MyFitness Viljandi,23%,2021-05-19 07:07:12.898688
MyFitness Viru,23%,2021-05-19 07:07:12.898689
MyFitness Ülemiste City,27%,2021-05-19 07:07:12.898694
MyFitness Balti Jaama Turg,27%,2021-05-19 08:07:18.803553
MyFitness Järve,26%,2021-05-19 08:07:18.803556
MyFitness Kristiine,20%,2021-05-19 08:07:18.803557
MyFitness Lasnamäe Kärberi,22%,2021-05-19 08:07:18.803558
MyFitness Lasnamäe Linnamäe,23%,2021-05-19 08:07:18.803560
MyFitness Lasnamäe Virbi,13%,2021-05-19 08:07:18.803561
MyFitness Mustamäe,23%,2021-05-19 08:07:18.803562
MyFitness Narva,25%,2021-05-19 08:07:18.803563
MyFitness Pirita,35%,2021-05-19 08:07:18.803564
MyFitness Postimaja,12%,2021-05-19 08:07:18.803565
MyFitness Rocca al Mare,72%,2021-05-19 08:07:18.803566
MyFitness Rävala,32%,2021-05-19 08:07:18.803567
MyFitness Solaris,7%,2021-05-19 08:07:18.803568
MyFitness Tartu Annelinn,33%,2021-05-19 08:07:18.803569
MyFitness Tartu Kesklinn,18%,2021-05-19 08:07:18.803570
MyFitness Tartu Lõunakeskus,17%,2021-05-19 08:07:18.803571
MyFitness Viimsi,26%,2021-05-19 08:07:18.803572
MyFitness Viljandi,30%,2021-05-19 08:07:18.803573
MyFitness Viru,18%,2021-05-19 08:07:18.803574
MyFitness Ülemiste City,29%,2021-05-19 08:07:18.803580
MyFitness Balti Jaama Turg,40%,2021-05-19 09:06:16.198131
MyFitness Järve,29%,2021-05-19 09:06:16.198136
MyFitness Kristiine,14%,2021-05-19 09:06:16.198137
MyFitness Lasnamäe Kärberi,9%,2021-05-19 09:06:16.198138
MyFitness Lasnamäe Linnamäe,23%,2021-05-19 09:06:16.198140
MyFitness Lasnamäe Virbi,21%,2021-05-19 09:06:16.198141
MyFitness Mustamäe,30%,2021-05-19 09:06:16.198142
MyFitness Narva,29%,2021-05-19 09:06:16.198143
MyFitness Pirita,33%,2021-05-19 09:06:16.198144
MyFitness Postimaja,11%,2021-05-19 09:06:16.198145
MyFitness Rocca al Mare,62%,2021-05-19 09:06:16.198146
MyFitness Rävala,53%,2021-05-19 09:06:16.198148
MyFitness Solaris,14%,2021-05-19 09:06:16.198149
MyFitness Tartu Annelinn,35%,2021-05-19 09:06:16.198150
MyFitness Tartu Kesklinn,29%,2021-05-19 09:06:16.198151
MyFitness Tartu Lõunakeskus,8%,2021-05-19 09:06:16.198152
MyFitness Viimsi,22%,2021-05-19 09:06:16.198153
MyFitness Viljandi,34%,2021-05-19 09:06:16.198154
MyFitness Viru,15%,2021-05-19 09:06:16.198155
MyFitness Ülemiste City,36%,2021-05-19 09:06:16.198159
MyFitness Balti Jaama Turg,40%,2021-05-19 10:06:41.642864
MyFitness Järve,26%,2021-05-19 10:06:41.642869
MyFitness Kristiine,16%,2021-05-19 10:06:41.642871
MyFitness Lasnamäe Kärberi,14%,2021-05-19 10:06:41.642872
MyFitness Lasnamäe Linnamäe,23%,2021-05-19 10:06:41.642873
MyFitness Lasnamäe Virbi,21%,2021-05-19 10:06:41.642874
MyFitness Mustamäe,22%,2021-05-19 10:06:41.642875
MyFitness Narva,25%,2021-05-19 10:06:41.642876
MyFitness Pirita,28%,2021-05-19 10:06:41.642877
MyFitness Postimaja,14%,2021-05-19 10:06:41.642879
MyFitness Rocca al Mare,59%,2021-05-19 10:06:41.642880
MyFitness Rävala,47%,2021-05-19 10:06:41.642880
MyFitness Solaris,14%,2021-05-19 10:06:41.642881
MyFitness Tartu Annelinn,28%,2021-05-19 10:06:41.642882
MyFitness Tartu Kesklinn,34%,2021-05-19 10:06:41.642883
MyFitness Tartu Lõunakeskus,25%,2021-05-19 10:06:41.642884
MyFitness Viimsi,23%,2021-05-19 10:06:41.642885
MyFitness Viljandi,45%,2021-05-19 10:06:41.642886
MyFitness Viru,20%,2021-05-19 10:06:41.642887
MyFitness Ülemiste City,35%,2021-05-19 10:06:41.642890
MyFitness Balti Jaama Turg,21%,2021-05-19 11:06:25.089630
MyFitness Järve,29%,2021-05-19 11:06:25.089634
MyFitness Kristiine,26%,2021-05-19 11:06:25.089635
MyFitness Lasnamäe Kärberi,16%,2021-05-19 11:06:25.089636
MyFitness Lasnamäe Linnamäe,25%,2021-05-19 11:06:25.089637
MyFitness Lasnamäe Virbi,7%,2021-05-19 11:06:25.089638
MyFitness Mustamäe,41%,2021-05-19 11:06:25.089639
MyFitness Narva,29%,2021-05-19 11:06:25.089640
MyFitness Pirita,30%,2021-05-19 11:06:25.089641
MyFitness Postimaja,35%,2021-05-19 11:06:25.089641
MyFitness Rocca al Mare,58%,2021-05-19 11:06:25.089642
MyFitness Rävala,44%,2021-05-19 11:06:25.089642
MyFitness Solaris,14%,2021-05-19 11:06:25.089643
MyFitness Tartu Annelinn,43%,2021-05-19 11:06:25.089644
MyFitness Tartu Kesklinn,28%,2021-05-19 11:06:25.089644
MyFitness Tartu Lõunakeskus,29%,2021-05-19 11:06:25.089645
MyFitness Viimsi,16%,2021-05-19 11:06:25.089645
MyFitness Viljandi,32%,2021-05-19 11:06:25.089646
MyFitness Viru,15%,2021-05-19 11:06:25.089647
MyFitness Ülemiste City,36%,2021-05-19 11:06:25.089651
MyFitness Balti Jaama Turg,39%,2021-05-19 12:06:50.834735
MyFitness Järve,38%,2021-05-19 12:06:50.834739
MyFitness Kristiine,21%,2021-05-19 12:06:50.834740
MyFitness Lasnamäe Kärberi,24%,2021-05-19 12:06:50.834741
MyFitness Lasnamäe Linnamäe,24%,2021-05-19 12:06:50.834742
MyFitness Lasnamäe Virbi,18%,2021-05-19 12:06:50.834743
MyFitness Mustamäe,49%,2021-05-19 12:06:50.834744
MyFitness Narva,36%,2021-05-19 12:06:50.834745
MyFitness Pirita,27%,2021-05-19 12:06:50.834746
MyFitness Postimaja,23%,2021-05-19 12:06:50.834747
MyFitness Rocca al Mare,92%,2021-05-19 12:06:50.834748
MyFitness Rävala,71%,2021-05-19 12:06:50.834749
MyFitness Solaris,12%,2021-05-19 12:06:50.834750
MyFitness Tartu Annelinn,49%,2021-05-19 12:06:50.834751
MyFitness Tartu Kesklinn,39%,2021-05-19 12:06:50.834752
MyFitness Tartu Lõunakeskus,44%,2021-05-19 12:06:50.834752
MyFitness Viimsi,27%,2021-05-19 12:06:50.834753
MyFitness Viljandi,18%,2021-05-19 12:06:50.834755
MyFitness Viru,27%,2021-05-19 12:06:50.834755
MyFitness Ülemiste City,49%,2021-05-19 12:06:50.834760
MyFitness Balti Jaama Turg,36%,2021-05-19 13:06:41.887342
MyFitness Järve,45%,2021-05-19 13:06:41.887347
MyFitness Kristiine,13%,2021-05-19 13:06:41.887348
MyFitness Lasnamäe Kärberi,20%,2021-05-19 13:06:41.887349
MyFitness Lasnamäe Linnamäe,13%,2021-05-19 13:06:41.887350
MyFitness Lasnamäe Virbi,22%,2021-05-19 13:06:41.887351
MyFitness Mustamäe,30%,2021-05-19 13:06:41.887352
MyFitness Narva,29%,2021-05-19 13:06:41.887352
MyFitness Pirita,35%,2021-05-19 13:06:41.887354
MyFitness Postimaja,23%,2021-05-19 13:06:41.887354
MyFitness Rocca al Mare,69%,2021-05-19 13:06:41.887355
MyFitness Rävala,52%,2021-05-19 13:06:41.887356
MyFitness Solaris,10%,2021-05-19 13:06:41.887357
MyFitness Tartu Annelinn,43%,2021-05-19 13:06:41.887358
MyFitness Tartu Kesklinn,33%,2021-05-19 13:06:41.887358
MyFitness Tartu Lõunakeskus,29%,2021-05-19 13:06:41.887359
MyFitness Viimsi,17%,2021-05-19 13:06:41.887361
MyFitness Viljandi,23%,2021-05-19 13:06:41.887362
MyFitness Viru,32%,2021-05-19 13:06:41.887362
MyFitness Ülemiste City,41%,2021-05-19 13:06:41.887367
MyFitness Balti Jaama Turg,34%,2021-05-19 14:07:27.034801
MyFitness Järve,33%,2021-05-19 14:07:27.034804
MyFitness Kristiine,36%,2021-05-19 14:07:27.034805
MyFitness Lasnamäe Kärberi,18%,2021-05-19 14:07:27.034806
MyFitness Lasnamäe Linnamäe,15%,2021-05-19 14:07:27.034807
MyFitness Lasnamäe Virbi,12%,2021-05-19 14:07:27.034808
MyFitness Mustamäe,39%,2021-05-19 14:07:27.034808
MyFitness Narva,39%,2021-05-19 14:07:27.034809
MyFitness Pirita,37%,2021-05-19 14:07:27.034810
MyFitness Postimaja,20%,2021-05-19 14:07:27.034811
MyFitness Rocca al Mare,69%,2021-05-19 14:07:27.034812
MyFitness Rävala,57%,2021-05-19 14:07:27.034812
MyFitness Solaris,17%,2021-05-19 14:07:27.034813
MyFitness Tartu Annelinn,33%,2021-05-19 14:07:27.034814
MyFitness Tartu Kesklinn,41%,2021-05-19 14:07:27.034815
MyFitness Tartu Lõunakeskus,46%,2021-05-19 14:07:27.034815
MyFitness Viimsi,20%,2021-05-19 14:07:27.034816
MyFitness Viljandi,50%,2021-05-19 14:07:27.034817
MyFitness Viru,38%,2021-05-19 14:07:27.034818
MyFitness Ülemiste City,55%,2021-05-19 14:07:27.034821
MyFitness Balti Jaama Turg,69%,2021-05-19 15:06:35.238709
MyFitness Järve,51%,2021-05-19 15:06:35.238714
MyFitness Kristiine,74%,2021-05-19 15:06:35.238715
MyFitness Lasnamäe Kärberi,22%,2021-05-19 15:06:35.238716
MyFitness Lasnamäe Linnamäe,35%,2021-05-19 15:06:35.238717
MyFitness Lasnamäe Virbi,16%,2021-05-19 15:06:35.238719
MyFitness Mustamäe,73%,2021-05-19 15:06:35.238720
MyFitness Narva,63%,2021-05-19 15:06:35.238721
MyFitness Pirita,50%,2021-05-19 15:06:35.238722
MyFitness Postimaja,37%,2021-05-19 15:06:35.238723
MyFitness Rocca al Mare,92%,2021-05-19 15:06:35.238724
MyFitness Rävala,81%,2021-05-19 15:06:35.238725
MyFitness Solaris,19%,2021-05-19 15:06:35.238726
MyFitness Tartu Annelinn,81%,2021-05-19 15:06:35.238727
MyFitness Tartu Kesklinn,45%,2021-05-19 15:06:35.238728
MyFitness Tartu Lõunakeskus,42%,2021-05-19 15:06:35.238729
MyFitness Viimsi,31%,2021-05-19 15:06:35.238729
MyFitness Viljandi,45%,2021-05-19 15:06:35.238731
MyFitness Viru,37%,2021-05-19 15:06:35.238732
MyFitness Ülemiste City,62%,2021-05-19 15:06:35.238735
MyFitness Balti Jaama Turg,45%,2021-05-19 16:06:42.286135
MyFitness Järve,65%,2021-05-19 16:06:42.286138
MyFitness Kristiine,41%,2021-05-19 16:06:42.286139
MyFitness Lasnamäe Kärberi,22%,2021-05-19 16:06:42.286139
MyFitness Lasnamäe Linnamäe,32%,2021-05-19 16:06:42.286140
MyFitness Lasnamäe Virbi,13%,2021-05-19 16:06:42.286141
MyFitness Mustamäe,68%,2021-05-19 16:06:42.286141
MyFitness Narva,43%,2021-05-19 16:06:42.286142
MyFitness Pirita,43%,2021-05-19 16:06:42.286143
MyFitness Postimaja,29%,2021-05-19 16:06:42.286143
MyFitness Rocca al Mare,100%,2021-05-19 16:06:42.286144
MyFitness Rävala,89%,2021-05-19 16:06:42.286145
MyFitness Solaris,38%,2021-05-19 16:06:42.286145
MyFitness Tartu Annelinn,49%,2021-05-19 16:06:42.286146
MyFitness Tartu Kesklinn,37%,2021-05-19 16:06:42.286146
MyFitness Tartu Lõunakeskus,33%,2021-05-19 16:06:42.286147
MyFitness Viimsi,44%,2021-05-19 16:06:42.286147
MyFitness Viljandi,32%,2021-05-19 16:06:42.286148
MyFitness Viru,47%,2021-05-19 16:06:42.286148
MyFitness Ülemiste City,42%,2021-05-19 16:06:42.286151
MyFitness Balti Jaama Turg,28%,2021-05-19 17:06:36.980741
MyFitness Järve,45%,2021-05-19 17:06:36.980745
MyFitness Kristiine,30%,2021-05-19 17:06:36.980746
MyFitness Lasnamäe Kärberi,22%,2021-05-19 17:06:36.980747
MyFitness Lasnamäe Linnamäe,22%,2021-05-19 17:06:36.980748
